 ,Area1,Mean1,Area2,Mean2,Area3,Mean3,Area4,Mean4,Area5,Mean5,Area6,Mean6,Area7,Mean7,Area8,Mean8,Area9,Mean9,Area10,Mean10,Area11,Mean11,Area12,Mean12,Area13,Mean13,Area14,Mean14,Area15,Mean15,Area16,Mean16,Area17,Mean17,Area18,Mean18
1,13.205,1557.262,2.105,2011.237,0.087,1696.048,0.915,2004.186,0.387,2273.107,0.037,2105.667,1.19,2023.332,0.395,1936.811,0.166,1910.725,0.037,2031.111,0.815,2230.623,1.622,2199.656,0.096,1867,0.116,1728.536,5.279,1859.846,0.345,1577.374,4.106,1628.152,1.381,1560.22
2,13.205,1540.916,2.105,2040.259,0.087,1592.238,0.915,1984.373,0.387,2206.72,0.037,2086.111,1.19,2088.941,0.395,1979.2,0.166,1852.3,0.037,2023.222,0.815,2231.709,1.622,2159.482,0.096,1843.652,0.116,1768.857,5.279,1846.66,0.345,1595.361,4.106,1561.322,1.381,1482.313
3,13.205,1531.882,2.105,1985.862,0.087,1663.286,0.915,2045.995,0.387,2234.828,0.037,1999.556,1.19,2146.094,0.395,1975.453,0.166,1886.175,0.037,1923.444,0.815,2175.475,1.622,2128.621,0.096,1856.391,0.116,1818.321,5.279,1870.445,0.345,1531.771,4.106,1559.556,1.381,1523.051
4,13.205,1544.713,2.105,1979.514,0.087,1667.857,0.915,1967.418,0.387,2277.011,0.037,2277.444,1.19,2089.423,0.395,1980.2,0.166,1839.5,0.037,1958.889,0.815,2200.036,1.622,2144.346,0.096,1769,0.116,1816.929,5.279,1842.668,0.345,1490,4.106,1558.667,1.381,1490.449
5,13.205,1514.624,2.105,2010.907,0.087,1619.667,0.915,1950.741,0.387,2228.075,0.037,2049.111,1.19,2099.636,0.395,1918.516,0.166,1784.3,0.037,1886.667,0.815,2188.704,1.622,2128.364,0.096,1687.087,0.116,1704.607,5.279,1886.923,0.345,1504.145,4.106,1568.238,1.381,1544.648
6,13.205,1501.112,2.105,2064.595,0.087,1664.81,0.915,1958.236,0.387,2209.699,0.037,2104.556,1.19,2099.818,0.395,1932.01,0.166,1809.625,0.037,1852.444,0.815,2173.092,1.622,2093.746,0.096,1774.957,0.116,1683.893,5.279,1868.124,0.345,1512.687,4.106,1515.16,1.381,1456.828
7,13.205,1435.927,2.105,1959.484,0.087,1512.762,0.915,1952.223,0.387,2131.882,0.037,2074,1.19,2100.982,0.395,1953.705,0.166,1816.575,0.037,1888,0.815,2211.566,1.622,2120.672,0.096,1682.913,0.116,1768,5.279,1809.384,0.345,1511.482,4.106,1534.828,1.381,1479.226
8,13.205,1427.096,2.105,1879.132,0.087,1567.095,0.915,1989.659,0.387,2211.258,0.037,2225.778,1.19,2109.336,0.395,1887.705,0.166,1812.7,0.037,1968.444,0.815,2253.576,1.622,2094.239,0.096,1650.957,0.116,1746.25,5.279,1789.476,0.345,1551.759,4.106,1559.896,1.381,1473.783
9,13.205,1868.394,2.105,2336.747,0.087,1680.81,0.915,2292.104,0.387,2356.806,0.037,2656.333,1.19,2183.455,0.395,2128.389,0.166,2017.175,0.037,2127.778,0.815,2359.306,1.622,2174.577,0.096,2009.739,0.116,2103.643,5.279,1947.792,0.345,1790.88,4.106,1736.785,1.381,1817.584
10,13.205,2042.333,2.105,2448.694,0.087,1766.381,0.915,2341.723,0.387,2351.107,0.037,2566.444,1.19,2281.241,0.395,2117.031,0.166,2018.25,0.037,2154.667,0.815,2351.464,1.622,2131.587,0.096,2123,0.116,2041.464,5.279,1962.967,0.345,1696.361,4.106,1654.681,1.381,1909.184
11,13.205,2102.597,2.105,2506.014,0.087,1597.952,0.915,2421.018,0.387,2359.398,0.037,2567.889,1.19,2234.5,0.395,2118.105,0.166,2036.275,0.037,2350.222,0.815,2360.847,1.622,2088.223,0.096,2137.87,0.116,2003.893,5.279,1993.975,0.345,1773.253,4.106,1737.839,1.381,1938.524
12,13.205,2201.126,2.105,2515.119,0.087,1767.095,0.915,2448.073,0.387,2277.559,0.037,2335.889,1.19,2353.241,0.395,1921.326,0.166,2083.15,0.037,2588.667,0.815,2339.755,1.622,2082.967,0.096,2089.348,0.116,1883.607,5.279,2037.671,0.345,1782.41,4.106,1748.78,1.381,2019.361
13,13.205,2309.885,2.105,2578.733,0.087,1745.19,0.915,2568.341,0.387,2270.194,0.037,2351,1.19,2374.979,0.395,1943.232,0.166,2158.025,0.037,2123.444,0.815,2358.908,1.622,2036.833,0.096,1949.913,0.116,1895.143,5.279,2057.967,0.345,1685.759,4.106,1736.609,1.381,2175.355
14,13.205,2313.871,2.105,2633.243,0.087,1991.81,0.915,2523.014,0.387,2138.107,0.037,2804.556,1.19,2335.287,0.395,1890.032,0.166,1979.175,0.037,1761.333,0.815,2467.995,1.622,2028.044,0.096,2240.565,0.116,2077.714,5.279,2112.156,0.345,1812.41,4.106,1795.658,1.381,2282.714
